No.,Year,Date,Type,Title,Location,Details,date_start,date_end,date_likely,date_precision,date_certain,date_note,categories,type_inferred,cancelled,subject_groups,subjects,lat,lon,geo_precision
16,1859,February 3,Lecture,Sixteenth-Century Poetry,London,"Theatre of London Institution; third in a series of four (Morning Chronicle, November 15, 1858, 1: BNA).",1859-02-03,1859-02-03,,day,TRUE,,lecture,FALSE,FALSE,Survey lectures,Sixteenth-century poetry,51.5074456,-0.1277653,town
17,1859,February 10,Lecture,Sixteenth-Century Poetry,London,"Theatre of London Institution; fourth in a series of four; “it is worthy of note that four authors of note [including MacDonald] are at present lecturing in the metropolis” (Morning Chronicle, November 15, 1858, 1; Warrington Guardian, February 5, 1859, 5: both BNA).",1859-02-10,1859-02-10,,day,TRUE,,lecture,FALSE,FALSE,Survey lectures,Sixteenth-century poetry,51.5074456,-0.1277653,town
18,1859,March 3,Lecture,Sir Walter Scott,St. Leonards,"Assembly Rooms; in “Great Poets of the Last Generation” series (Hastings Chronicle, March 2, 1859; March [illegible], 1859: both BC).",1859-03-03,1859-03-03,,day,TRUE,,lecture,FALSE,FALSE,Scott,(unspecified),50.8521318,0.5603008,town
19,1859,March 4,Lecture,Scott,Hastings,"No. 2 Marine Cottages; a repeat of the March 3 lecture (Hastings Chronicle, March 2, 1859: BC).",1859-03-04,1859-03-04,,day,TRUE,,lecture,FALSE,FALSE,Scott,(unspecified),50.8550976,0.5821779,town
20,1859,March 7,Lecture,Lord Byron,St. Leonards,"Assembly Rooms; in “Great Poets of the Last Generation” series (Hastings Chronicle, March 2, 1859; March [illegible], 1859: both BC).",1859-03-07,1859-03-07,,day,TRUE,,lecture,FALSE,FALSE,Byron,(unspecified),50.8521318,0.5603008,town
21,1859,March 8,Lecture,Byron,Hastings,"No. 2 Marine Cottages; a repeat of March 7 lecture (Hastings Chronicle, March 2, 1859: BC).",1859-03-08,1859-03-08,,day,TRUE,,lecture,FALSE,FALSE,Byron,(unspecified),50.8550976,0.5821779,town
22,1859,March 9,Lecture,Sixteenth-Century Drama,Brighton,"Brighton Athenaeum; “The English Drama of the Sixteenth Century,” primarily Christopher Marlowe (Brighton Herald, March 12, 1859; The Era, March 13, 1859, 12: BNA).",1859-03-09,1859-03-09,,day,TRUE,,lecture,FALSE,FALSE,Survey lectures,Sixteenth-century drama,50.8214626,-0.1400561,town
23,1859,March 10,Lecture,Percy Bysshe Shelley,St. Leonards,"Assembly Rooms; in “Great Poets of the Last Generation” series (Hastings Chronicle, March 2, 1859; March 16, 1859: both BC).",1859-03-10,1859-03-10,,day,TRUE,,lecture,FALSE,FALSE,Shelley,(unspecified),50.8521318,0.5603008,town
24,1859,March 11,Lecture,Shelley,Hastings,"No. 2 Marine Cottages; a repeat of the March 10 lecture (Hastings Chronicle, March 2, 1859: BC).",1859-03-11,1859-03-11,,day,TRUE,,lecture,FALSE,FALSE,Shelley,(unspecified),50.8550976,0.5821779,town
25,1859,March 14,Lecture,John Keats,St. Leonards,"Assembly Rooms; in “Great Poets of the Last Generation” series (Hastings Chronicle, March 2, 1859; March 16, 1859: both BC).",1859-03-14,1859-03-14,,day,TRUE,,lecture,FALSE,FALSE,Keats,(unspecified),50.8521318,0.5603008,town
26,1859,March 15,Lecture,Keats,Hastings,"No. 2 Marine Cottages; a repeat of the March 14 lecture (Hastings Chronicle, March 2, 1859: BC).",1859-03-15,1859-03-15,,day,TRUE,,lecture,FALSE,FALSE,Keats,(unspecified),50.8550976,0.5821779,town
27,1859,March 17,Lecture,Wordsworth,St. Leonards,"Assembly Rooms; in “Great Poets of the Last Generation” series (Hastings Chronicle, March 2, 1859: BC).",1859-03-17,1859-03-17,,day,TRUE,,lecture,FALSE,FALSE,Wordsworth,(unspecified),50.8521318,0.5603008,town
